Rank;CCA3;Country/Territory;Capital;Continent;2022 Population;2020 Population;2015 Population;2010 Population;2000 Population;1990 Population;1980 Population;1970 Population;Area (km²);Density (per km²);Growth Rate;World Population Percentage
107;LBY;Libya;Tripoli;Africa;6812341;6653942;6192235;6491988;5154790;4236983;2962720;1909177;1759540;38717;10114;9
216;LIE;Liechtenstein;Vaduz;Europe;39327;38756;37355;35926;33026;28765;25003;21089;160;2457937;10074;0
141;LTU;Lithuania;Vilnius;Europe;2750055;2820267;2963765;3139019;3599637;3785847;3521206;3210147;65300;421142;9869;3
168;LUX;Luxembourg;Luxembourg;Europe;647599;630399;569408;507070;435628;381267;363741;339342;2586;250425;10129;1
167;MAC;Macau;Concelho de Macau;Asia;695168;676283;615239;557297;431896;350227;245332;247284;30;231722667;10125;1
50;MDG;Madagascar;Antananarivo;Africa;29611714;28225177;24850912;21731053;16216431;11882762;8948162;6639751;587041;504423;10241;37
62;MWI;Malawi;Lilongwe;Africa;20405317;19377061;16938942;14718422;11229387;9539665;6267369;4625141;118484;17222;10259;26
45;MYS;Malaysia;Kuala Lumpur;Asia;33938221;33199993;31068833;28717731;22945150;17517054;13215707;10306508;330803;1025934;10109;43
174;MDV;Maldives;Malé;Asia;523787;514438;435582;361575;282507;224957;164887;123243;300;17459567;10045;1
59;MLI;Mali;Bamako;Africa;22593590;21224040;18112907;15529181;11239101;8945026;7372581;6153587;1240192;182178;10314;28
173;MLT;Malta;Valletta;Europe;533286;515357;456579;418755;399212;365392;333587;315414;316;16876139;10124;1
215;MHL;Marshall Islands;Majuro;Oceania;41569;43413;49410;53416;54224;46047;31988;23969;181;229663;9886;0
180;MTQ;Martinique;Fort-de-France;North America;367507;370391;383515;392181;432543;374271;333786;326428;1128;3258041;9965;0
126;MRT;Mauritania;Nouakchott;Africa;4736139;4498604;3946220;3419461;2695003;2006027;1506694;1122198;1030700;45951;10263;6
157;MUS;Mauritius;Port Louis;Africa;1299469;1297828;1293153;1283330;1215930;1090290;954865;830115;2040;6369946;10004;2
182;MYT;Mayotte;Mamoudzou;Africa;326101;305587;249545;211786;159215;92659;52233;35383;374;8719278;10319;0
10;MEX;Mexico;Mexico City;North America;127504125;125998302;120149897;112532401;97873442;81720428;67705186;50289306;1964375;649082;10063;16
194;FSM;Micronesia;Palikir;Oceania;114164;112106;109462;107588;111709;98603;76299;58989;702;1626268;10091;0
135;MDA;Moldova;Chisinau;Europe;3272996;3084847;3277388;3678186;4251573;4480199;4103240;3711140;33846;967026;10691;4
217;MCO;Monaco;Monaco;Europe;36469;36922;36760;33178;32465;30329;27076;24270;2;182345;9941;0
